,free mean,free err,rga32a mean,rga32a err,ur_38 mean,ur_38 err
1,-5.9650029322964295,0.0018588415145951477,-5.969733736653835,0.0017050927945104117,-5.96929225432973,0.0020766763580862165
2,-5.8027305463863,0.0012237730781208987,-5.807396001793633,0.001101840074984525,-5.807588937097572,0.0012875774793673763
3,-5.681188735763637,0.0009454125211678481,-5.683399665803777,0.0010221557374179222,-5.68450172904004,0.0009155681027999468
4,-5.556546320172966,0.0008091681756231443,-5.563011446620411,0.0009078237508099847,-5.5653399026567545,0.0008667830498112345
5,-5.413968026858056,0.0007431760081457732,-5.441222494605346,0.0007920944599133043,-5.440567742401736,0.0008095951260922814
6,-5.246697882177934,0.0007411741369213418,-5.322895090665752,0.0007296779604383507,-5.317433657365594,0.0007726568975388479
7,-5.053505238177269,0.0007609923910038945,-5.207826324356441,0.0007260385984028188,-5.195744658009598,0.0007438983432275363
8,-4.836993324456233,0.0008474492034093162,-5.066665711272524,0.0007291731861508494,-5.066683024599472,0.0007394944891018392
9,-4.597240339756623,0.0010120773955057105,-4.948825487086572,0.0007624420327684673,-4.930383302323411,0.0006684479452146322
10,-4.341780530711684,0.0013103612035535125,-4.794932170746917,0.0008592816898843216,-4.7961024152933085,0.000724229636636946
11,-4.067343276715447,0.0018000794115934555,-4.664667429219433,0.000842312877057686,-4.654677733530963,0.000765252814914821
12,-3.77859558984162,0.002410394376442578,-4.511820296154567,0.0009322489479309513,-4.510126019991973,0.0008181259141315428
13,-3.467632561804442,0.0034253194868838024,-4.332881470875345,0.0010764956269294606,-4.357916232039743,0.0009502233548070754
14,-3.125174450527955,0.004886912332877007,-4.1753127602885005,0.0011685641817511553,-4.210968602033115,0.0009967222329766458
15,-2.752147643409168,0.0074885852142036954,-4.034236171272665,0.0012682005132441426,-4.0317648996312805,0.0011723066798271845
16,-2.3603535729655603,0.011201910847985226,-3.8757307174653817,0.0014240466917981108,-3.8477342210330723,0.0013665418636583035
17,-1.9686188673778104,0.017165247929701796,-3.6870807028536414,0.0018265068734127754,-3.659080160239892,0.0017007440449322967
18,-1.5991907817289297,0.027731318174048915,-3.4950862235967306,0.0021051029718841853,-3.4510809786544536,0.0020911982635855035
19,-1.206054806356269,0.04174140940839452,-3.3084928525150614,0.0028239604767363586,-3.264645507916372,0.0027951862963631084
20,-0.8291512284900575,0.06440126050749603,-3.0412848407628004,0.0037959379168314633,-3.001824612801599,0.0038141623940842495
21,,,-2.7796755205371464,0.005055051323367627,-2.750435442107793,0.005121791303578049
22,,,-2.542727232782327,0.006268367093668759,-2.501938257578624,0.006410978211027566
23,,,-2.19976830423861,0.008625917642070824,-2.1574242568327735,0.010305011496644997
24,,,-1.517560688973657,0.021017636950097424,-1.4997929896720683,0.01899503416774359
25,,,-1.0093622038821597,0.03433613557842723,-1.048423739018172,0.03347151108221152
26,,,-0.5127697947240198,0.06372611517645746,-0.6766839273197025,0.04118511307052542
