,free mean,free err,xy4 mean,xy4 err,ur_10 mean,ur_10 err
1,-5.930814938931373,0.0015914311844573532,-5.940267202468297,0.0017591780356784725,-5.944129166055624,0.0019128429680678623
2,-5.755596522393898,0.001121160976048771,-5.765056705699226,0.0011735216279276355,-5.762928460720371,0.0013435845663562836
3,-5.614017636025709,0.000896120221758974,-5.643387092920092,0.001110321629557001,-5.6333511874650615,0.0011261968301788012
4,-5.47350198001769,0.0008393357320179724,-5.538634653064135,0.000945709783852041,-5.5290001859677185,0.0010111849681538354
5,-5.31875151618762,0.0009323799495000197,-5.436228775476382,0.0009107062752146186,-5.4202393312774575,0.0008115407190335117
6,-5.136498981861717,0.000965255360372953,-5.327571569709165,0.0007788519990647159,-5.31886938403837,0.0007440176098285562
7,-4.927972175988882,0.0009912809055289524,-5.216799338913577,0.0007371185315418078,-5.21702968203564,0.0007220553069406287
8,-4.695919252291664,0.001138672588551344,-5.085774659335554,0.0007413726597631846,-5.102759362315071,0.0007596045481256702
9,-4.430444291265685,0.00137664774725903,-4.952582860748355,0.000717776290416541,-4.979627724165515,0.0007755910166789106
10,-4.13095563975651,0.0016536200149400938,-4.816253656153984,0.000766694512861899,-4.853707371590753,0.0008361344775599816
11,-3.649772512261053,0.0027100021586862946,-4.56560905978974,0.0008713020652990737,-4.603395217073009,0.0009124387534405272
12,-3.2776925106905366,0.004529300692348612,-4.382738994016,0.0010376871483223147,-4.424043669640051,0.0010099027945893251
13,-2.956006007350076,0.005949092958978377,-4.176212882856421,0.0011872529568139475,-4.238861297150932,0.0011830494900909978
14,-2.45153653763473,0.009297872486869847,-3.921651161954604,0.0016150427971023309,-4.007932353302934,0.001453023683059755
15,-2.0715352939301095,0.015079714985304794,-3.6840238473832896,0.0018197103838929367,-3.792480412995738,0.0016093561100421908
16,-1.7687174415860953,0.018640556870772873,-3.060685123795616,0.004160632555799776,-3.1641915311802107,0.003730689368533341
17,-1.5651621539446297,0.021979069886709657,-2.8267035469793784,0.005690307757732093,-2.9773988615412943,0.00468465177090433
18,-1.1071434177342268,0.02984323916508627,-2.589988858646035,0.006638009938715478,-2.7812996170595494,0.005615499225098525
19,-0.7022211403291224,0.05000313307839261,-2.140750495336726,0.010857426231143745,-2.3781042580178324,0.0073330127399862674
20,,,-1.8342450101623438,0.015581366533050693,-2.1025247227663026,0.010485591717364172
21,,,,,-1.8313953220183554,0.013631928120992171
22,,,,,-1.46442484754482,0.0198216127731184
23,,,,,-1.2290396720502919,0.024771182733814484
24,,,,,-0.83812298257936,0.03957391818305226
25,,,,,-0.4972314800664349,0.049314204937111486
26,,,,,,
