"lower/upper",3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
11,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.18226695996104564, 0.0007819017610504258}, {-6.609303580820541, 0.008867589098433142}}","{{0.19715709637993292, 0.0007578314711220132}, {-6.783021839040892, 0.008735986419506563}}","{{0.20379409244916302, 0.0007082719288504055}, {-6.8626657918716525, 0.008316065941934953}}","{{0.2663324898069998, 0.0011484067525485678}, {-7.6339726926183085, 0.01404868371917754}}","{{0.2801455081310737, 0.0014972122291110601}, {-7.80893759138991, 0.018553261338006045}}","{{0.27889707712865947, 0.0016545681736742945}, {-7.792707988358524, 0.02061998270901585}}","{{0.2866010281217372, 0.0017517752174631513}, {-7.895427334932895, 0.02216461163009447}}","{{0.28992186719802016, 0.0020284118563125594}, {-7.940812135642096, 0.026129610004137556}}","{{0.2908790309464434, 0.0023611925769063884}, {-7.954212428120022, 0.03113122843071122}}","{{0.2943578347831142, 0.0028169807813491748}, {-8.004075283112298, 0.038249791250942224}}","{{0.2945162549276327, 0.0033746102883815683}, {-8.006398778565243, 0.04699614872744167}}","{{0.2973821505692061, 0.004308439105280369}, {-8.049398402676204, 0.06145603298805395}}","{{0.30002975016507294, 0.005067746307284621}, {-8.090234451338842, 0.073046654838797}}"
12,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.2080556581685498, 0.001030660122965707}, {-6.928335996222453, 0.01263606012171761}}","{{0.21256187137809765, 0.0008904544304060603}, {-6.985414696876732, 0.011116096296144051}}","{{0.2966085161074908, 0.0015487426150491471}, {-8.078021078358848, 0.020069456365702315}}","{{0.3049338651060907, 0.001901243143711048}, {-8.18902573167351, 0.024845824592524716}}","{{0.29624635182441145, 0.0019935361927326057}, {-8.070296383490563, 0.02611806828679712}}","{{0.3015389718918209, 0.0020560161622384283}, {-8.14439306443429, 0.027336318583536967}}","{{0.30227823214725863, 0.0023531971026482723}, {-8.154989128095565, 0.03187109705682473}}","{{0.30095555565551874, 0.00271493905711195}, {-8.135589872883378, 0.03762744159350022}}","{{0.30323477387902603, 0.003220893990622162}, {-8.16977814623599, 0.045938237122430184}}","{{0.30194010753164535, 0.0038298138484647434}, {-8.149926595576154, 0.05594848239240848}}","{{0.3041047782694244, 0.004855717285646436}, {-8.183850956680574, 0.07254080513763823}}","{{0.3061777018646274, 0.005647828272731946}, {-8.217292119796303, 0.08520870695021657}}"
13,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.2231904420776054, 0.0011781817436055878}, {-7.137757543569677, 0.01565039928818123}}","{{0.3439461238219379, 0.0022034171533557466}, {-8.788085194075549, 0.030089101440085392}}","{{0.3366665693342012, 0.0024616656338728583}, {-8.686171431247237, 0.033755190995314946}}","{{0.31450565021592625, 0.0024159700511996608}, {-8.368531590551967, 0.03312523100400917}}","{{0.3160935050478756, 0.0024111999139442997}, {-8.391820128087225, 0.03353111641104225}}","{{0.31337894707815894, 0.002743454621754355}, {-8.351101758541473, 0.038952664691669796}}","{{0.30929551693694496, 0.00314232411789838}, {-8.288489163042861, 0.0456734030920164}}","{{0.31036258654886795, 0.0037157258722647084}, {-8.305206586962989, 0.05557662299804196}}","{{0.3075365603801744, 0.00438019828481721}, {-8.259990168263888, 0.06700185311658596}}","{{0.3091290210690147, 0.005510860701428252}, {-8.286010560272244, 0.08606631822084229}}","{{0.31075984395715145, 0.006329478573427017}, {-8.313517103739308, 0.09976617968054025}}"
14,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.4218704110613658, 0.00352411387971929}, {-9.982924265080115, 0.05063092771022493}}","{{0.3719889357100486, 0.0033016798208782222}, {-9.251329293260799, 0.04738628427640003}}","{{0.32683470239412155, 0.002957768779807539}, {-8.574015793521887, 0.04234300539905789}}","{{0.32484215811065575, 0.0028467251017325022}, {-8.543463447842077, 0.04137751350905164}}","{{0.3188523969887994, 0.003237453020158944}, {-8.449623856933, 0.04818664976700317}}","{{0.3123797468346212, 0.0036824820154474393}, {-8.346061454466145, 0.056115101917119874}}","{{0.31299855860526593, 0.004336209662606666}, {-8.356168713386685, 0.06794266070158055}}","{{0.30908013279155166, 0.00505699650032104}, {-8.290861616491437, 0.08087991519410193}}","{{0.310681183592251, 0.00630549325020504}, {-8.31808858575246, 0.10278360722388671}}","{{0.3123420092706218, 0.007145870123524602}, {-8.347269963760004, 0.11752890037139815}}"
15,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.40754077572722197, 0.004410670190059609}, {-9.832009346874633, 0.06566702020734022}}","{{0.322033505744745, 0.003489981248422754}, {-8.49239545048249, 0.051707523851085985}}","{{0.321164422407648, 0.003312247743499009}, {-8.478490117088942, 0.05025275850973761}}","{{0.3144039861461746, 0.003812437348919553}, {-8.368069658151539, 0.059385422491894865}}","{{0.30735298190298144, 0.00433771187525303}, {-8.250552920764989, 0.06920872321155067}}","{{0.3093831878491935, 0.005096643263432949}, {-8.285066421850594, 0.08351118856359756}}","{{0.30539741646711915, 0.0058730143803256436}, {-8.215979717894644, 0.09801301876131806}}","{{0.30805402203923515, 0.007260827659800632}, {-8.262918193139127, 0.1233022629669238}}","{{0.3105212100925208, 0.00812987472345311}, {-8.307819314901154, 0.13941130481087008}}"
16,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.19144595706033404, 0.0035754252799125538}, {-6.2288779399527, 0.056463369113247036}}","{{0.2554361063968915, 0.003812837310789885}, {-7.2953804288953235, 0.06220800830227886}}","{{0.2722628220351318, 0.00453585383690526}, {-7.581434594745412, 0.07487285959345329}}","{{0.27690853774788216, 0.005187990482955514}, {-7.661960333766411, 0.08718262504503717}}","{{0.2882172151516199, 0.006078929201834691}, {-7.861746967899114, 0.10438949448602616}}","{{0.28852649409841663, 0.0068976364841864925}, {-7.867313988941458, 0.1201850494383381}}","{{0.29552239483502785, 0.008426337152021164}, {-7.995576812782704, 0.14894097988964894}}","{{0.301013290758506, 0.009312017445814466}, {-8.098645089552827, 0.16633366190362853}}"
17,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.2996473017617425, 0.005771899796824148}, {-8.105919010584262, 0.10008680889843131}}","{{0.30278177753666236, 0.006221048214206103}, {-8.161294749274493, 0.10808304884562177}}","{{0.2970781973339168, 0.006558577114171534}, {-8.058630305625083, 0.11502512019400568}}","{{0.30543321401021556, 0.00749842818017471}, {-8.211805611357232, 0.13408396768286573}}","{{0.30091200155363856, 0.008256841444270711}, {-8.127409645501123, 0.1494620537794058}}","{{0.30655073277673456, 0.00992167922360516}, {-8.23452413485302, 0.1819595135490193}}","{{0.31087404586416706, 0.010837346360450036}, {-8.318868620245922, 0.20129975226752975}}"
18,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.3393874471466376, 0.008711700130572597}, {-8.869004361734014, 0.15735527326390308}}","{{0.31252924203751586, 0.00824535741727003}, {-8.367651199697075, 0.14976936230918744}}","{{0.318045847502889, 0.009272259210233193}, {-8.472466703539157, 0.17189037311128277}}","{{0.3078133530632343, 0.009901134140104273}, {-8.274638477705832, 0.18561394641090778}}","{{0.313067674586533, 0.011782528409530516}, {-8.37789685466858, 0.2238212375697963}}","{{0.3169435823822317, 0.012726296329115705}, {-8.456444781322055, 0.24545630127649573}}"
19,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.27335446799972624, 0.01067468898793599}, {-7.5710974609286925, 0.2021565367043555}}","{{0.3012167632166941, 0.011977301817477835}, {-8.119055933529056, 0.23137095494993448}}","{{0.29362290471566127, 0.01215009438325537}, {-7.967178763508413, 0.23654906723614424}}","{{0.3053115119337117, 0.014291197030927794}, {-8.204675888755569, 0.28162369839766327}}","{{0.3126584906067885, 0.015216382646333789}, {-8.357887670486868, 0.304843741663732}}"
20,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.3190499376107558, 0.0161233830301531}, {-8.49949698726903, 0.32424643724779445}}","{{0.2987425626621587, 0.014893026493717071}, {-8.079811238331354, 0.30031343449658254}}","{{0.31302904911291063, 0.017296617346758785}, {-8.379606731484087, 0.35237430920966756}}","{{0.32054372883985877, 0.018554861405926177}, {-8.541876562591833, 0.3864191371119297}}"
21,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.3011778249840234, 0.019820960768322526}, {-8.134198763519677, 0.4151760695154426}}","{{0.32135738410489584, 0.021925084469664444}, {-8.571158436299747, 0.46226940851087245}}","{{0.32896677645973543, 0.023254649693650462}, {-8.74122202292891, 0.5019378587703744}}"
22,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.3130125611446029, 0.02996668278436336}, {-8.376445900559574, 0.6578951743561725}}","{{0.3295678421974687, 0.03181167034947308}, {-8.755647600634513, 0.7146263721654548}}"
23,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.3681462928401601, 0.04812059186460918}, {-9.694389899606668, 1.1180648033493883}}"
