,free mean,free err,xy4 mean,xy4 err,super_euler mean,super_euler err
1,-4.988900735418293,0.002825754491755906,-5.054071958578081,0.003322245571498097,-5.086330875772265,0.0037351180383927347
2,-4.834380520056571,0.0020288559035987063,-4.881115317413877,0.0021819504515292365,-4.869942081423347,0.002181003300163787
3,-4.695954067467059,0.001833546152743684,-4.757646496388387,0.0017665456939075376,-4.717352290175253,0.001964520481606724
4,-4.554796756302543,0.0017173051344138268,-4.651115558625334,0.0015347010510451608,-4.60378667970385,0.0018375998498614276
5,-4.393465363472157,0.0017944033783515055,-4.545753021355928,0.0014661938833373182,-4.504873284701952,0.0017471650094234722
6,-4.213423006670473,0.0020535495141598414,-4.443645580558467,0.0014369507817532472,-4.412049552895034,0.0016504189746040499
7,-4.023343317623166,0.0023247823063145745,-4.342841545224207,0.00151895256722397,-4.320591721905649,0.0016128998077941064
8,-3.818522299345208,0.0025124357044684275,-4.240580365282848,0.0016108732505142468,-4.225838159052422,0.0016571415540411688
9,-3.590276509917443,0.0032346662061084,-4.12927117205048,0.0017512640463841632,-4.123643340726624,0.0016551501761594633
10,-3.332016473536501,0.004321714660556416,-4.012160292339178,0.0019470609858900684,-4.01597160407972,0.0017160812034457246
11,-3.030935843403773,0.005177711621406176,-3.885918460846296,0.0021135977916388084,-3.891938070438883,0.0018329968104951458
12,-2.705301666067036,0.007755828923532108,-3.751009610905419,0.0023469336123639406,-3.761794824847432,0.0019288656964021047
13,-2.366573069623564,0.010857189131121683,-3.606835184371154,0.0026370009890950108,-3.6193746645892504,0.0021336107149251384
14,-2.030640346208821,0.014921024918985318,-3.45084563340804,0.0029318602901636454,-3.476693704176682,0.002435940309543093
15,-1.6993620292417064,0.02249299231989515,-3.2887791616955555,0.0033444780690296385,-3.3207634039770717,0.0027197906639876133
16,-1.352540223265638,0.0343971700947199,-3.1203581972148915,0.003876337251101158,-3.1604755204958987,0.003171820350510006
17,,,-2.9472968154635093,0.004250450602723356,-2.988198236453065,0.0035793598318941545
18,,,-2.7633013955348518,0.005152771027907083,-2.813582650311156,0.004316458336465532
19,,,-2.5663837274411043,0.006343733672723244,-2.632021951257093,0.00513876987481754
20,,,-2.3667503402149674,0.008289876922948261,-2.4412160404111134,0.007248513315010828
21,,,-2.1625114936012535,0.009628522241801149,-2.250701077290019,0.009948423057389287
22,,,-1.9619454016660274,0.01255018487937462,-2.0625718364735217,0.011933805029320465
23,,,-1.75573852804209,0.014795668873958803,-1.8847695965271454,0.013545826253406565
24,,,-1.5296083524189565,0.020470708312058345,-1.682931847430802,0.016255409373966606
25,,,,,-1.5166103740799344,0.019673869107569218
26,,,,,-1.3718201192460306,0.023769387200142048
