"lower/upper",3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
11,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.1483807507456173, 0.0006395078477098177}, {-6.288142337468294, 0.007356994609627197}}","{{0.148333718244576, 0.0005438531686568923}, {-6.287593624956152, 0.006464506736958844}}","{{0.15449830857581975, 0.0005379902270835283}, {-6.361568708931072, 0.006619542613176915}}","{{0.16047853010223448, 0.0005428794612531676}, {-6.435324774423523, 0.006842491778793868}}","{{0.16563313036426816, 0.0005696370089345726}, {-6.5006163777426185, 0.007292450427363137}}","{{0.17131138474187893, 0.0005832268406869382}, {-6.574433684651558, 0.007513278035956286}}","{{0.17496950918451123, 0.0006610111875537781}, {-6.623208677219988, 0.008627117478009797}}","{{0.18162372086059306, 0.0007522736501727607}, {-6.714149570126441, 0.009966742246901836}}","{{0.18842444767632877, 0.0008939461016006224}, {-6.809359745546738, 0.012092115214821338}}","{{0.19465843379513148, 0.001049180664409097}, {-6.898713546582914, 0.014414004575353878}}","{{0.20336652101915764, 0.0012809851785334165}, {-7.026432159201965, 0.017963263600904732}}"
12,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.14957870897941997, 0.0006759873704609015}, {-6.304193501420734, 0.008463893415170022}}","{{0.15820309910887376, 0.0006592909526568149}, {-6.413435776393824, 0.008526243204440592}}","{{0.1650934930326284, 0.0006590480555907544}, {-6.503010897402638, 0.008718035406171}}","{{0.1704279724052073, 0.000683936948675397}, {-6.57413728903702, 0.00918265730178847}}","{{0.17635863030758234, 0.0006925421585292614}, {-6.655189613702811, 0.009378015565771013}}","{{0.17966947446944725, 0.0007733446326023427}, {-6.701541431968919, 0.01059234040684748}}","{{0.18675796312133858, 0.0008665444932086705}, {-6.80314310264603, 0.012025412482113723}}","{{0.19389198684807227, 0.0010247361994164316}, {-6.907775450638122, 0.014517379081245136}}","{{0.20026532695725036, 0.0011909819666288675}, {-7.003375552275793, 0.01712285737172487}}","{{0.20949027985826063, 0.001448025513485491}, {-7.144824830091286, 0.021251677465205298}}"
13,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.16307566620423938, 0.0008610779171764891}, {-6.483275904760734, 0.01177206684952679}}","{{0.1709749735421858, 0.0008219718856989364}, {-6.591233105045993, 0.011420977174912281}}","{{0.17609065245997538, 0.0008268714993317302}, {-6.662852609895054, 0.01161981591819248}}","{{0.1821106363115532, 0.0008234428268768542}, {-6.749139045101001, 0.011681567308302306}}","{{0.18472400566138664, 0.0009047275596910018}, {-6.78746846223189, 0.012956369246650107}}","{{0.19232098367826583, 0.0010039204453389976}, {-6.901423132485073, 0.014564945263385714}}","{{0.19980411922051342, 0.0011852960725142882}, {-7.016164544132876, 0.017564433789290915}}","{{0.20626970087703855, 0.0013633298554486047}, {-7.11745865675177, 0.02048748532740704}}","{{0.21608021359281654, 0.0016523719178077778}, {-7.27442686020422, 0.02535670058476458}}"
14,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.18161719050002398, 0.0010989576536606974}, {-6.754413765066183, 0.015833076796766064}}","{{0.18396960039779003, 0.0010384330283882642}, {-6.788915776900085, 0.015152696406340612}}","{{0.18924599861487074, 0.0010022836241021303}, {-6.8680617501562935, 0.014806881905912625}}","{{0.19035203698020944, 0.0010700146402468679}, {-6.8850210050914855, 0.015940175939704704}}","{{0.19851157119653529, 0.001172990691810645}, {-7.012853707813929, 0.017721785613895428}}","{{0.2063178437447769, 0.0013868642810399767}, {-7.137754068585796, 0.021444608231127888}}","{{0.21277272698624916, 0.0015758423421408162}, {-7.243183828196509, 0.024702828929514257}}","{{0.22324473702333866, 0.0019031347913150722}, {-7.417717328814661, 0.030478520371813467}}"
15,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.18634236969569343, 0.0013064500211633213}, {-6.827671008765845, 0.01995026010705694}}","{{0.1930705823723634, 0.0012448692888570182}, {-6.93307967403367, 0.019295914787731523}}","{{0.19308920258084433, 0.0012931838879648157}, {-6.933377597369367, 0.02015829048422733}}","{{0.2030561930023995, 0.0013983443540570128}, {-7.096171774254767, 0.022090164299826198}}","{{0.2117943657627491, 0.0016519039305989932}, {-7.2418079869272605, 0.026693114970427898}}","{{0.21849383931009303, 0.0018406202904348457}, {-7.3556990372321085, 0.030088491935862296}}","{{0.2300216043945748, 0.0022151635211339745}, {-7.555513632029793, 0.036991712086556376}}"
16,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.1983266211893126, 0.0016146242763344803}, {-7.02418434686079, 0.026169473864686956}}","{{0.1957265320935578, 0.0015766212233409753}, {-6.980849528598213, 0.02558890574420601}}","{{0.2086253868786508, 0.0016965445950615627}, {-7.200130059944794, 0.027963081071420304}}","{{0.21841988593369385, 0.0019907415281889343}, {-7.369901376898864, 0.03351654552109188}}","{{0.2251404890171593, 0.0021621888156680186}, {-7.488632031373429, 0.036748556348636205}}","{{0.23788853294599155, 0.0025927114481503095}, {-7.718096822092406, 0.04501399514387742}}"
17,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.19721732616177254, 0.0020674055767814074}, {-7.008180753182147, 0.035134244996826235}}","{{0.21582021130529072, 0.002215901192889618}, {-7.33683172405096, 0.03833217215926636}}","{{0.22665458021170948, 0.002484046572051708}, {-7.5318503643665045, 0.04360593048816241}}","{{0.23287048623031875, 0.002587076837279339}, {-7.645808641374339, 0.04570645806798484}}","{{0.24705225779219742, 0.003069319727439756}, {-7.910535043862735, 0.05531695780257198}}"
18,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.22462818292643913, 0.0030556529466386185}, {-7.50711917539315, 0.05529267808488074}}","{{0.2364757504754798, 0.003121210390895099}, {-7.728273769641917, 0.05687395908705337}}","{{0.24124955079601929, 0.0030708898506130364}, {-7.818975975732156, 0.05613929940906609}}","{{0.25736555802329625, 0.0036495296798038784}, {-8.130552115459505, 0.06812626981908093}}"
19,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.25710503290427544, 0.004052956419951701}, {-8.147735845694104, 0.07671805850351349}}","{{0.25395109217069955, 0.0036648364298094045}, {-8.085708344600436, 0.06936116241418723}}","{{0.2714328857390214, 0.004471516049222346}, {-8.435344215966884, 0.0866867767107312}}"
20,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.2499431776115024, 0.004196483750067378}, {-8.00020616733756, 0.08219577338399962}}","{{0.27816982524356726, 0.00569713768522287}, {-8.583556885066894, 0.11501666350965788}}"
21,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.2965055926375001, 0.00813957149987304}, {-8.993055690198066, 0.17132876206395828}}"
