"lower/upper",3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,"{{0.14239526264484492, 0.001833960250352341}, {-6.105251498778808, 0.005642134906543496}}","{{0.1334944263076453, 0.0012744156470833035}, {-6.090416771550139, 0.0048522128455034475}}","{{0.12996980582968123, 0.000973492814943293}, {-6.0833675305942085, 0.0043453313975282525}}","{{0.12798623986547125, 0.0007781894048980027}, {-6.078739210011054, 0.003971172917819479}}","{{0.1266031191093805, 0.0006369283273318145}, {-6.075050887994815, 0.003658357136696043}}","{{0.12623169498607212, 0.0005282227303929225}, {-6.073936615624885, 0.0033891951604041724}}","{{0.12672956554786022, 0.00045018397528958406}, {-6.07559618416418, 0.0031872373200728904}}","{{0.1273949171874385, 0.00039213733580309267}, {-6.078035806842634, 0.003015077357616846}}","{{0.12839555283515902, 0.0003515220560382479}, {-6.082038349433515, 0.002888113076510155}}","{{0.12959423342822152, 0.0003142296151670815}, {-6.087232632003455, 0.0027475760873894497}}","{{0.1310642784413042, 0.00028755531868591684}, {-6.094092842064509, 0.002629430427226857}}","{{0.13244211677996506, 0.00026950341512247246}, {-6.100982033757809, 0.0025468676986990266}}","{{0.1345067513406414, 0.0002503617895099229}, {-6.1119934180814175, 0.0024430000674945463}}","{{0.13698067433177555, 0.0002400089063079574}, {-6.12601231503118, 0.0023765040138596974}}","{{0.1396916682759149, 0.00023547503191947882}, {-6.142278278696012, 0.002322330806051618}}","{{0.14279249759302176, 0.00023872245007053474}, {-6.161916864371025, 0.0022927073659480806}}","{{0.14570113815387267, 0.00025599442089846187}, {-6.181307801443364, 0.0023390661521761422}}","{{0.14949342994764878, 0.0002878105928648938}, {-6.207853843999796, 0.0025099005937547826}}","{{0.1536240321942899, 0.00033469240239175407}, {-6.238144927141832, 0.0027736204107549414}}","{{0.15785104359297183, 0.0004019248870822598}, {-6.270552014531725, 0.003216679480129828}}","{{0.16309619310450013, 0.0005014739146287364}, {-6.312513210623953, 0.003956476968001821}}"
2,"{{0, 0}, {0, 0}}","{{0.1211245172204114, 0.0010882907103796676}, {-6.049183741259356, 0.004342900543359342}}","{{0.12202254104708088, 0.0008406658465054836}, {-6.051578471463809, 0.0038461263609097275}}","{{0.12242445461022645, 0.0006787630316118898}, {-6.052784212153243, 0.003511457179116234}}","{{0.1224342220205214, 0.0005572409588579649}, {-6.052816770187561, 0.003222008278840092}}","{{0.12314779017308344, 0.00046915658579287984}, {-6.055433186746955, 0.0029976043525095893}}","{{0.12454110457856653, 0.00040457257009903494}, {-6.0610064443688865, 0.002838631959790034}}","{{0.12584063679789453, 0.00035981270972459023}, {-6.066637750652647, 0.0027120766520257506}}","{{0.12735225565306713, 0.00032562105940554727}, {-6.073691971976782, 0.00261220742334328}}","{{0.12895856856888588, 0.00029311223214914}, {-6.081723536555877, 0.0024855007289353906}}","{{0.13077956522737103, 0.00026985979027103335}, {-6.09143551873446, 0.0023760360429901906}}","{{0.13241318072796945, 0.0002535499425350261}, {-6.100692673237852, 0.0023006343694081614}}","{{0.13477689680474184, 0.00023645930785204353}, {-6.114874969698488, 0.002201010061153005}}","{{0.13754465679948066, 0.00023009266837748318}, {-6.132404116331834, 0.00215927757823756}}","{{0.14052402717817414, 0.00023074011611827497}, {-6.152266585523129, 0.0021419645898394023}}","{{0.14389173536761582, 0.00023811812197709664}, {-6.1758405428492145, 0.002146038155013411}}","{{0.14700142068249572, 0.0002603115918816198}, {-6.198644901825003, 0.002249434883736838}}","{{0.15105602924102438, 0.0003001908445090814}, {-6.229730234107055, 0.0025415386057195985}}","{{0.15544343178299241, 0.0003556150282665149}, {-6.264829454442801, 0.002950563817836273}}","{{0.15989973954452932, 0.0004299616419154874}, {-6.301965352455612, 0.003538135571442353}}","{{0.1654354757433275, 0.0005381549201135818}, {-6.34994173284519, 0.004460102175312872}}"
3,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.12196699331915255, 0.0007566621411925943}, {-6.0513377646427875, 0.0036023337015211316}}","{{0.12259763752783708, 0.0006294592215777562}, {-6.0536501267413, 0.00339606148564983}}","{{0.12254203873520365, 0.0005311921189057845}, {-6.053427731570763, 0.003179681414960251}}","{{0.12345752403372684, 0.00046027842693375663}, {-6.0573948345310304, 0.0030165396554381585}}","{{0.12516043288059311, 0.00040084062748541624}, {-6.065341742483074, 0.0028818149179359247}}","{{0.12663001607924523, 0.00036246014076771475}, {-6.0726896584763335, 0.0027812160115109345}}","{{0.12830213261749068, 0.00033296034856400745}, {-6.081607613346974, 0.0027044229158952725}}","{{0.13003973272358774, 0.00030232817546516153}, {-6.0914540139481925, 0.0025800399450497174}}","{{0.13199524438276083, 0.00028195155054960787}, {-6.103187083903233, 0.0024810587308652216}}","{{0.13369851594089419, 0.0002668100868561675}, {-6.11397447043807, 0.002412663095531776}}","{{0.136228136765951, 0.00025058496162101495}, {-6.130838609271788, 0.0023161203812225094}}","{{0.13918397105119384, 0.00024328145781918705}, {-6.151529449268487, 0.002269410354377779}}","{{0.14234201558015105, 0.0002442585977130144}, {-6.174688442480841, 0.0022592703031882543}}","{{0.14590343874302633, 0.00025215748639162194}, {-6.201992686729551, 0.002273465445867147}}","{{0.14914229840372584, 0.0002766584903633774}, {-6.227903564015147, 0.002415655698453908}}","{{0.1534095437219546, 0.00032171895371515207}, {-6.263463941667053, 0.002800642381953812}}","{{0.15801103974403177, 0.00038451872355497443}, {-6.30334357385839, 0.0033423986818643795}}","{{0.16265621748561826, 0.0004653350594565106}, {-6.345150173532669, 0.004059583592478266}}","{{0.16845664494705553, 0.0005830617395334291}, {-6.399287496506079, 0.00517106603364619}}"
4,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.12395312264557773, 0.0006842707718161511}, {-6.0608793807025805, 0.003958363187554632}}","{{0.12319198189776014, 0.0005714389040038553}, {-6.057327390546099, 0.003633264146556349}}","{{0.1242136840506716, 0.0005005832101667736}, {-6.062435901310661, 0.0034465074166277437}}","{{0.12623217584084248, 0.0004350733494401901}, {-6.073201190858237, 0.0032715677273353516}}","{{0.12781542767904033, 0.00039474280807141676}, {-6.08217295127469, 0.003147147409076636}}","{{0.1296092204518973, 0.00036601219842451237}, {-6.092935707911832, 0.0030692116281962737}}","{{0.13144248995170343, 0.00033230391304838163}, {-6.1045464147439406, 0.0029151588809731032}}","{{0.1335085524970882, 0.00031130576597716814}, {-6.118320165046506, 0.0028057548991202866}}","{{0.1352463628631864, 0.00029484295038686997}, {-6.130484837609194, 0.0027278406301204324}}","{{0.13793961267203708, 0.00027695151320931966}, {-6.150235336207428, 0.0026175223714022854}}","{{0.141086886707919, 0.00026713388947033985}, {-6.174364437149191, 0.002552316523873082}}","{{0.14442423536148155, 0.00026719781258683007}, {-6.201063226377691, 0.0025400169472389374}}","{{0.1481828856418956, 0.0002738331378362057}, {-6.232385312047811, 0.0025478771331975346}}","{{0.1515416718978242, 0.0003005639248754271}, {-6.261494792932525, 0.002732049577058229}}","{{0.15602866684242123, 0.0003502476660789451}, {-6.301877747433899, 0.003204614159467559}}","{{0.16085042652023257, 0.000419655260913615}, {-6.346880837760134, 0.003870414648145663}}","{{0.16568568752133342, 0.0005069584492106582}, {-6.3936216941041115, 0.004718088159137993}}","{{0.1717632107253433, 0.0006338196015398028}, {-6.454396926144211, 0.006013125727357331}}"
5,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.12241154219607166, 0.000637808042060845}, {-6.052384605768741, 0.004202865726582015}}","{{0.12433431527627675, 0.0005422535142743301}, {-6.063280319889901, 0.0038804665226003926}}","{{0.1271119512922782, 0.00045909882953814506}, {-6.07994613598591, 0.003610195060901843}}","{{0.12892969525939482, 0.00041572478244429823}, {-6.091458514444313, 0.0034542880138588874}}","{{0.13091763808725254, 0.00038976710266739136}, {-6.104711466630031, 0.0033911141964131654}}","{{0.13288212055317172, 0.00035512033053739406}, {-6.11846284389147, 0.0032202461944313768}}","{{0.1350873901972049, 0.00033465554307356106}, {-6.134634821281046, 0.0031079045603016444}}","{{0.13685699509649907, 0.0003179876822558345}, {-6.148201792175632, 0.0030288870921790197}}","{{0.1397470844645379, 0.00030000091022986335}, {-6.171322507119941, 0.002918285993926635}}","{{0.14311765887431777, 0.00028943988165868096}, {-6.199410627201441, 0.0028494194233210724}}","{{0.14665601929513547, 0.0002901579433724107}, {-6.2300764175151935, 0.0028504458831284723}}","{{0.1506327933393729, 0.0002965287637631308}, {-6.265867383913331, 0.002861618710530627}}","{{0.15411276340309496, 0.0003273323980002624}, {-6.298347104508071, 0.0031136779678518603}}","{{0.15883924627760734, 0.00038326384516020485}, {-6.344036438961692, 0.0036999812263537515}}","{{0.16389761539572775, 0.00046011485941151474}, {-6.3946201301428935, 0.004506251376052765}}","{{0.16893155107745186, 0.0005550746097141754}, {-6.446637465520711, 0.0055073133566002665}}","{{0.1753071437180815, 0.0006918724742544446}, {-6.514643787020762, 0.007004435341642359}}"
6,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.12537531638306407, 0.0005750197493543864}, {-6.070914328006338, 0.004365350710939145}}","{{0.12902126985366755, 0.0004928850121907969}, {-6.095220684477024, 0.004101747869718025}}","{{0.13080238398307584, 0.0004489286394654873}, {-6.107688483382881, 0.003909606617184028}}","{{0.13282874484565993, 0.0004214636607200882}, {-6.122548463041834, 0.0038251804252414905}}","{{0.1348084775137256, 0.00038390903405615545}, {-6.137726413497009, 0.003618625550039411}}","{{0.13708347532862822, 0.0003615227620351103}, {-6.155926396016228, 0.003480766352284724}}","{{0.13880275128744832, 0.00034228397513967254}, {-6.170253695673059, 0.003378528874240724}}","{{0.1418817072909066, 0.0003230863316644091}, {-6.196937981036366, 0.0032571748415262517}}","{{0.14547700017039633, 0.0003121986863768581}, {-6.22929561695177, 0.003188284633451585}}","{{0.14921186377867127, 0.00031482213164283056}, {-6.26415434396234, 0.0032170679183130295}}","{{0.15340724237070888, 0.00032211529454022976}, {-6.304709670352036, 0.0032459487722654706}}","{{0.15698800115334272, 0.00035809609411062724}, {-6.3405172581783695, 0.0035834324124005552}}","{{0.16196131671109057, 0.0004201221343833677}, {-6.391908185608433, 0.004282732781927845}}","{{0.16726172316479102, 0.0005045040878145505}, {-6.448445854447908, 0.005232595135482024}}","{{0.17249210918918084, 0.0006082066267637813}, {-6.505980100716198, 0.006407791396711937}}","{{0.1791804834441328, 0.0007561228380012025}, {-6.5817816756056455, 0.008131603556785626}}"
7,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.1326806778430943, 0.000566173176710019}, {-6.125715751055581, 0.00489314868197493}}","{{0.13352264504249411, 0.0004908079040145336}, {-6.132170832917646, 0.004427810953546904}}","{{0.135271445826345, 0.0004548051398647015}, {-6.146161239188457, 0.004271387892252392}}","{{0.13709685572353694, 0.0004097671783997945}, {-6.161372988331726, 0.003992049959751904}}","{{0.1393680305684638, 0.00038580971085075524}, {-6.1810565036544185, 0.0038313929538095074}}","{{0.14094598670703268, 0.00036412834846391475}, {-6.195258108901539, 0.0037087443873187803}}","{{0.14423288061801662, 0.0003446886248849331}, {-6.225935785404057, 0.0035895012074291105}}","{{0.14807699740798352, 0.0003360554119451906}, {-6.263095581040403, 0.00355283049581135}}","{{0.1520182003563833, 0.0003415839863311196}, {-6.302507610524401, 0.0036253227553689773}}","{{0.1564450859508078, 0.00035053780545658906}, {-6.348252095000121, 0.003684093283852086}}","{{0.16010937014921636, 0.0003939364485921543}, {-6.38733779311648, 0.004145273277387326}}","{{0.16534724950151844, 0.0004629595367179717}, {-6.444954465991804, 0.004976955247595227}}","{{0.17090291911032146, 0.0005567168666591684}, {-6.507918721558238, 0.006107038152714309}}","{{0.17633195389456857, 0.0006701986640043137}, {-6.571257460707787, 0.007481613167597153}}","{{0.18335544927299854, 0.0008313187135411595}, {-6.655539405248948, 0.009478599595251413}}"
8,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.1352903046530875, 0.0005445171660718753}, {-6.148668989283181, 0.0051158212594478916}}","{{0.13702967602356586, 0.0004998172327691249}, {-6.163743541160668, 0.004868421273127644}}","{{0.13888195780074278, 0.0004450753860743456}, {-6.180414077155254, 0.004490513365657079}}","{{0.14131515690158153, 0.0004210862113146412}, {-6.203123935429751, 0.004322175032690329}}","{{0.1427876358417047, 0.00039533650054733013}, {-6.217357898517608, 0.004166377995714664}}","{{0.14643584094676831, 0.0003744148746734866}, {-6.253839949568244, 0.004041622430344373}}","{{0.15064465917256048, 0.0003673282395179038}, {-6.2973310712347645, 0.004035710811625977}}","{{0.15486057035772394, 0.00037553263569108916}, {-6.34230079054317, 0.004154815445909532}}","{{0.1595755496963458, 0.0003856318948507589}, {-6.394165563268011, 0.004241127609852877}}","{{0.16332880397023383, 0.00043773630430469633}, {-6.436702445038747, 0.004852584329237906}}","{{0.1688772134042714, 0.0005144427696566288}, {-6.501433888435851, 0.00583335254334171}}","{{0.17472226954250986, 0.000619046920914812}, {-6.571574562094711, 0.007175843404112221}}","{{0.18036592890703157, 0.0007425949668339295}, {-6.641179694257146, 0.00876296881799461}}","{{0.1877631143312077, 0.0009178848752894978}, {-6.734877376296708, 0.01106039415637375}}"
9,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.13785278439621834, 0.0005765237518687871}, {-6.1722489943447405, 0.0057017660572274515}}","{{0.14021965287566807, 0.0004920175545779705}, {-6.1951287229794305, 0.005072453185939911}}","{{0.14309105358686575, 0.00045912199872972755}, {-6.223842730091401, 0.004824645256612132}}","{{0.1444623932786052, 0.0004259222463669297}, {-6.238013240239378, 0.004613585589381226}}","{{0.14867444057457205, 0.00040875612731237454}, {-6.282941744729692, 0.004559619051438744}}","{{0.15337581344985984, 0.0004064689584742679}, {-6.3346568463578565, 0.004637065273661808}}","{{0.1579216706145491, 0.00041988441015501247}, {-6.386176560890997, 0.004846875476526054}}","{{0.1629674257695318, 0.0004333732334055613}, {-6.445043704365802, 0.005003493682611592}}","{{0.1667863851708193, 0.0004952673281646078}, {-6.4908712171812475, 0.005794668643513703}}","{{0.1726832659770985, 0.000578644388604228}, {-6.563599413792025, 0.006918238242016069}}","{{0.1788420149715544, 0.0006949212515301444}, {-6.641610234388467, 0.008499169621056473}}","{{0.18470337632685874, 0.0008281642984213994}, {-6.7178079320074255, 0.010303741216480738}}","{{0.19250852681828118, 0.0010193544091821318}, {-6.821876605226388, 0.012947269913333085}}"
10,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.142988197650664, 0.0005822371309576091}, {-6.226505563762718, 0.006334140663509099}}","{{0.14591102632996972, 0.0005218914055657702}, {-6.257682403008647, 0.005753807059370506}}","{{0.1467029128011626, 0.00047130567689649533}, {-6.26639315419177, 0.005356941041507705}}","{{0.15157213602159658, 0.0004581637516962404}, {-6.321577684023356, 0.005373741368206388}}","{{0.15678884530496037, 0.0004606904556787632}, {-6.38243929232926, 0.005531384358128248}}","{{0.1616179087970492, 0.0004811151740378744}, {-6.440388054234331, 0.00585633058048475}}","{{0.16696355661258216, 0.0004965689333106173}, {-6.506317710625904, 0.0060651794328130375}}","{{0.17074708172551667, 0.0005681439816183106}, {-6.554242362056411, 0.007036651503960627}}","{{0.17699599603208382, 0.0006572686970907807}, {-6.635478248041782, 0.008291088822423713}}","{{0.18346241484978504, 0.0007864088417208521}, {-6.72169716561113, 0.010138691783860423}}","{{0.189514693355408, 0.0009306991802660226}, {-6.804411638521313, 0.012195088840704483}}","{{0.1977475343415266, 0.0011405042811333148}, {-6.91967141232697, 0.015249509219093009}}"
