"lower/upper",3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
11,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.14148257152305277, 0.0006585381537909401}, {-6.255437126455766, 0.00765062698410526}}","{{0.14648325423745018, 0.0006462589907707965}, {-6.313778424790403, 0.007732017210693766}}","{{0.1521911541355655, 0.0006052369903555527}, {-6.382273223567783, 0.007374518746007642}}","{{0.15601907982843416, 0.0005673847177652167}, {-6.429484307113166, 0.0070726070931071035}}","{{0.15913746293116804, 0.000545623559800999}, {-6.468983826414467, 0.006998209047515247}}","{{0.1642729368407078, 0.0005433969099667912}, {-6.535744987238477, 0.007219177720520264}}","{{0.16851128777931007, 0.0005517877768514142}, {-6.592256333086508, 0.007423220206521866}}","{{0.17610807761747996, 0.0006220638843789231}, {-6.696079127541502, 0.00852217414025605}}","{{0.1844859429706193, 0.0007088250604081395}, {-6.813369242485449, 0.009789108927796962}}","{{0.19145211093422, 0.0008059162763858399}, {-6.913217649963725, 0.011257918344607433}}","{{0.20098232523890341, 0.0009577854170143838}, {-7.052994126432413, 0.013734881524150654}}"
12,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.15207435040872053, 0.0008023152651132892}, {-6.388326373740674, 0.010033116200258402}}","{{0.15784065217026774, 0.0007072509783178762}, {-6.461366196053612, 0.008997028621436441}}","{{0.16093994892639826, 0.0006433847367472671}, {-6.501657053883307, 0.008381917129371596}}","{{0.1634575033640542, 0.0006075085120831761}, {-6.535224446385386, 0.00814578389808792}}","{{0.1688259582669245, 0.0006087675331663294}, {-6.608593330057948, 0.00846459888481935}}","{{0.1729856415836233, 0.0006193298967981705}, {-6.666828896491735, 0.008719970560613629}}","{{0.18127630609598314, 0.0007042951669649991}, {-6.78566175450222, 0.010087487036591158}}","{{0.1902960988240497, 0.0008048811604129955}, {-6.9179520478472, 0.011629540725461015}}","{{0.19747245080768208, 0.000913490632865181}, {-7.025597327601689, 0.013360408802337327}}","{{0.20758764418423542, 0.001087325032647356}, {-7.180696959375509, 0.01632572422575318}}"
13,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.16295813861151665, 0.0007885899657678068}, {-6.534716835044848, 0.010473886872221224}}","{{0.16504834052508552, 0.000700301447000124}, {-6.56328292786362, 0.00954904981772081}}","{{0.16692956009833093, 0.0006657005910670326}, {-6.5896200018890525, 0.009367899289933002}}","{{0.17293014772406612, 0.0006851657841596993}, {-6.675628424524596, 0.010004757901247375}}","{{0.17710568642920882, 0.0007037308145815864}, {-6.736869658866686, 0.010393316121056371}}","{{0.18643900585826206, 0.000807370370455225}, {-6.876869450302483, 0.012093680901127711}}","{{0.19631593035650488, 0.0009256523461421969}, {-7.028315625942212, 0.01398809384617787}}","{{0.20372358643037233, 0.0010477368889854767}, {-7.144368904432799, 0.016032591417763052}}","{{0.2145413357621738, 0.0012460890236688934}, {-7.317452893741624, 0.019556685185062685}}"
14,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.16879645260151016, 0.0008422280934361369}, {-6.620753979702131, 0.012134569279545393}}","{{0.16974422592316668, 0.0007812914735116856}, {-6.63465465508643, 0.011582676208371428}}","{{0.17701918226925972, 0.0008125341082318489}, {-6.743779000277822, 0.012442093144333}}","{{0.18122355569438542, 0.0008353206978961545}, {-6.808246059463082, 0.012915807972152376}}","{{0.1920470037416909, 0.000953047671691186}, {-6.977813412204207, 0.01489588074187003}}","{{0.2029911598936367, 0.0010881019518206943}, {-7.152919910635335, 0.017160442935562847}}","{{0.21056157742011228, 0.0012228282066175833}, {-7.276570063567771, 0.019538768981452844}}","{{0.22217527842032378, 0.0014451638000497105}, {-7.470131746904628, 0.023648986648698425}}"
15,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.16996753533356226, 0.0009921155634615567}, {-6.63830204212289, 0.015448595747034211}}","{{0.1807683151475034, 0.001022679794606061}, {-6.807514259207966, 0.016345780695855662}}","{{0.1851547847913859, 0.001023555891908674}, {-6.877697773510091, 0.016482678103112203}}","{{0.19827563915545915, 0.0011469069927577224}, {-7.09200506145662, 0.0186265734052657}}","{{0.2105670869468845, 0.0012973634030261137}, {-7.296862524647045, 0.021277740631363968}}","{{0.21813612709166372, 0.0014439482812470936}, {-7.4255362071082835, 0.024017768737045267}}","{{0.23064741727602642, 0.0016904079272484144}, {-7.64239857030391, 0.028761068496999366}}"
16,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.18876773540486252, 0.0013899236454464666}, {-6.94617087700219, 0.02302946851857795}}","{{0.19134772974200395, 0.0013079646026838687}, {-6.989170782621216, 0.021831491245051654}}","{{0.2072397478714595, 0.0014426050210890977}, {-7.259335090821958, 0.024323271299531168}}","{{0.2206403086880204, 0.0015909414192669489}, {-7.491611478309008, 0.027103477780688136}}","{{0.22749386837670513, 0.0017323831228438621}, {-7.612691032809112, 0.02993292625318484}}","{{0.24079354578589476, 0.0020054927331322214}, {-7.852085226174526, 0.03542450015415212}}"
17,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.19853555894248115, 0.001743078706657093}, {-7.1209476512966265, 0.030196713540986384}}","{{0.21877967153641234, 0.001866151816901335}, {-7.478593640456069, 0.03266286349334525}}","{{0.2329244872136317, 0.00197909574921839}, {-7.733200322646029, 0.03498294549312453}}","{{0.23796784062333484, 0.002101889533729433}, {-7.825661801823917, 0.037688829090648746}}","{{0.2520748623646816, 0.002408043984954142}, {-8.088992874329046, 0.044123198232236274}}"
18,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.23006385480255745, 0.002573370738992084}, {-7.6967545169348695, 0.04678460098612849}}","{{0.2456389866853003, 0.002527132823117557}, {-7.987490312079396, 0.046326419366413116}}","{{0.24761388167021145, 0.0025839476190728486}, {-8.0250133167927, 0.04803531321860209}}","{{0.2632078969763874, 0.0029535655678460857}, {-8.326497612712105, 0.05615324001066013}}"
19,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.26874373169031035, 0.0034649379066290626}, {-8.457286793847944, 0.06621192743000305}}","{{0.2601537016651854, 0.0032959501358780486}, {-8.288349536687157, 0.06372432070150824}}","{{0.27696939509584834, 0.0037619538576905407}, {-8.62466340530042, 0.07434357211325116}}"
20,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.254598983527845, 0.0042334345849340945}, {-8.169848883090546, 0.0851376720595622}}","{{0.28259988274249204, 0.005008313935072539}, {-8.748534133526585, 0.10292975494460278}}"
