"lower/upper",3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,"{{0.1419337848643295, 0.0018704921122254354}, {-6.179413720758913, 0.005517677383381983}}","{{0.1371848756600182, 0.0012542261125402946}, {-6.171498872085062, 0.004696135034354065}}","{{0.1331496940455779, 0.0009563654584054949}, {-6.163428508856182, 0.004254322284947438}}","{{0.13004544144942065, 0.0007592535190603936}, {-6.156185252798481, 0.0039004583569564673}}","{{0.12884295966227793, 0.0006332636899017063}, {-6.15297863469943, 0.0036502779427550606}}","{{0.1284520348475153, 0.0005410701436167534}, {-6.151805860255147, 0.0034443008998509667}}","{{0.12848214337468447, 0.00046548936150864954}, {-6.151906222012375, 0.0032650690993737946}}","{{0.130318387011044, 0.0003972895021196837}, {-6.1586391153456965, 0.0030753815758086268}}","{{0.13160317456636397, 0.000353938225550602}, {-6.163778265566974, 0.0029501405296579147}}","{{0.1324639163818043, 0.00032336086540237885}, {-6.167508146767216, 0.0028489695395828574}}","{{0.1335047134645302, 0.00029891619276691277}, {-6.172365199819938, 0.002756117096004177}}","{{0.1347986285663822, 0.00028113955572431836}, {-6.178834775329196, 0.002681234415574149}}","{{0.13652025944376714, 0.00026922701650858717}, {-6.188016806675248, 0.0026186608077452956}}","{{0.13835717219434723, 0.00026112303194886433}, {-6.198425978928537, 0.002573342215986985}}","{{0.14028460377383153, 0.00025625767417753354}, {-6.209990568405443, 0.0025509584040765234}}","{{0.14277554927799854, 0.0002516495503119646}, {-6.225766556598497, 0.0025377512589868216}}","{{0.1453341892326909, 0.0002532094894274075}, {-6.242824156296446, 0.002528983823070035}}","{{0.14895396458281626, 0.00026883258017001245}, {-6.268162583747327, 0.002620326194545988}}","{{0.15319594987765814, 0.0003012945914838064}, {-6.2992704759094975, 0.0028246936193097928}}","{{0.15741019630283004, 0.0003421802992586612}, {-6.331579698502489, 0.003099703582880884}}","{{0.16274073165394728, 0.0004042132109892556}, {-6.374223981311427, 0.003633226520619361}}"
2,"{{0, 0}, {0, 0}}","{{0.13068331273062747, 0.0010961744285674672}, {-6.149826995653757, 0.004334748538614767}}","{{0.12788132177366132, 0.0008582414007050763}, {-6.142355019768514, 0.003972449387039445}}","{{0.12564271704780716, 0.0006978043550989461}, {-6.135639205590954, 0.0036630217391183753}}","{{0.12550698279882222, 0.0005789797500257249}, {-6.1351867580943376, 0.0034099626293923394}}","{{0.12595750142654216, 0.0004924253508950454}, {-6.136838659729304, 0.0032052056313208806}}","{{0.12661877044074768, 0.00042109506647615224}, {-6.139483735786128, 0.003032754764525473}}","{{0.1292771510927289, 0.0003605853114659552}, {-6.151003385278049, 0.0028593801309444705}}","{{0.1310271433427751, 0.00032542577552870496}, {-6.159170015778265, 0.002762882557663367}}","{{0.13214911661985793, 0.0003013217908898482}, {-6.164779882163678, 0.00268484433337866}}","{{0.13341584651002866, 0.00028110562307521385}, {-6.171535774911256, 0.0026058923067378277}}","{{0.1349224973128582, 0.0002668175784428178}, {-6.180073462793957, 0.0025444035135619857}}","{{0.13687237992323018, 0.00025909009351665163}, {-6.191772758456187, 0.002501317905712134}}","{{0.1389072649766261, 0.00025505259325390935}, {-6.20466036379436, 0.0024810261209458305}}","{{0.1410068639057609, 0.00025151924262412355}, {-6.218657689988597, 0.0024695037315119765}}","{{0.14370589004195566, 0.00024922784657176395}, {-6.2375508729419575, 0.0024796362028896347}}","{{0.14644545212895227, 0.00025227364278201106}, {-6.257640994913271, 0.0024826744855790442}}","{{0.1503292814215894, 0.0002700227246256651}, {-6.28741701949015, 0.002601770193900207}}","{{0.15485793356203842, 0.0003078422688826597}, {-6.323646236613744, 0.0028797891667860006}}","{{0.15931525262919044, 0.00035513572177110585}, {-6.360790562173344, 0.0032540548646976183}}","{{0.16495719516437632, 0.0004230460604933534}, {-6.4096873974782875, 0.0039014928630516955}}"
3,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.12559879388430134, 0.000896906915600709}, {-6.132464065581287, 0.00436355324365739}}","{{0.12338215074020212, 0.0007134545902673185}, {-6.124336374052927, 0.003924417507518677}}","{{0.12409634931466301, 0.0005695675353933072}, {-6.127193168350768, 0.0035481696410515}}","{{0.12516725197967715, 0.0004747858704288233}, {-6.131833746565828, 0.003284496997973187}}","{{0.12624324055418903, 0.00040780495983389927}, {-6.13685502658022, 0.003116469540685336}}","{{0.12966009884080384, 0.00035479271341969516}, {-6.153939318013292, 0.002959429480990816}}","{{0.1317138787579561, 0.0003282082289721589}, {-6.164892810904772, 0.002893561364700047}}","{{0.13292289960741857, 0.0003075077482369957}, {-6.1717439290517255, 0.002822402594023507}}","{{0.13427925620715492, 0.00028897675564302974}, {-6.179882068650145, 0.0027430750964846312}}","{{0.1358931138609352, 0.0002757389322352773}, {-6.190103167124083, 0.002681202763886565}}","{{0.13799365278858342, 0.0002691709754702529}, {-6.204106759975073, 0.002641061209833546}}","{{0.14015905386884245, 0.00026526535515157985}, {-6.2192645675368885, 0.0026206070949747204}}","{{0.14237169413623266, 0.0002614031923137341}, {-6.235490596164414, 0.002607752004576369}}","{{0.1452374947606433, 0.00025907461949853866}, {-6.257461734284898, 0.002622715742979685}}","{{0.1481191694792053, 0.0002617928560302083}, {-6.280515132033395, 0.0026223451538596007}}","{{0.15224856676544102, 0.0002805700915630691}, {-6.314926776085356, 0.002758762507979604}}","{{0.1570518890950055, 0.00032241219947572587}, {-6.3565555696082505, 0.0030985779081867323}}","{{0.1617355445155757, 0.00037401882301893094}, {-6.39870846839338, 0.0035473901491009825}}","{{0.16768431092207592, 0.00044745868002798555}, {-6.454230288187383, 0.004302139522707702}}"
4,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.12062408294673857, 0.0007514628661098353}, {-6.1096266791544505, 0.0043882548469888595}}","{{0.12307441470516459, 0.0005784583443463967}, {-6.121061560693777, 0.0038393393464822303}}","{{0.12498245227998506, 0.00047810344839544237}, {-6.130601748567881, 0.003512023626941088}}","{{0.12647870361256255, 0.00041516729781924857}, {-6.138581755674957, 0.003347876631564707}}","{{0.1308045319643913, 0.0003663397661110525}, {-6.1630947830019895, 0.0031925831325916466}}","{{0.1330856485799336, 0.00034341494482168243}, {-6.176781482695244, 0.003134306429383627}}","{{0.1342585029910595, 0.0003242925969097034}, {-6.184209560632375, 0.003059863352378418}}","{{0.13561901023401504, 0.00030703267092677214}, {-6.193279608918744, 0.0029788905793305923}}","{{0.13728270491087177, 0.0002944220426399953}, {-6.204925471656747, 0.0029160088370568543}}","{{0.13950173515147177, 0.00028788361359120113}, {-6.221198360087814, 0.002873409984561218}}","{{0.1417682621882488, 0.0002827251022129953}, {-6.238575067369763, 0.0028434917987252653}}","{{0.14406710701963768, 0.0002780512355605118}, {-6.256965826020878, 0.002827390966432103}}","{{0.14708895934284844, 0.00027506838039208063}, {-6.2821479287143, 0.002843974007625029}}","{{0.15009941032845553, 0.0002772572021722313}, {-6.30823850392289, 0.0028408685450347264}}","{{0.15448164954845406, 0.00029788368910415274}, {-6.347678656902885, 0.003009859516416299}}","{{0.15957055404985737, 0.000343376888212763}, {-6.395175098915976, 0.0034148018701433895}}","{{0.16448210320366116, 0.00039927646626776106}, {-6.442653407402748, 0.003945797429665939}}","{{0.17075109038200323, 0.00047769465363369277}, {-6.505343279186174, 0.00480541545077609}}"
5,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.12433003792899083, 0.0005465879973375102}, {-6.12901384111134, 0.0039248425050215}}","{{0.12656428267930278, 0.00046277535610969253}, {-6.141674561363106, 0.0036412702690420294}}","{{0.12802630238518847, 0.0004162791747127371}, {-6.150446679598425, 0.003555750712855871}}","{{0.13327820726341608, 0.0003808700989340728}, {-6.183708743827194, 0.0034563600493701533}}","{{0.13550430711224923, 0.00036237628264565604}, {-6.198549409486084, 0.0034110710795766997}}","{{0.1363657104930781, 0.00034607584851206817}, {-6.20457923315189, 0.0033423110409162987}}","{{0.13756028434513112, 0.00033122944728656846}, {-6.213339441400276, 0.0032713808884555864}}","{{0.13916846313513562, 0.0003195044292468964}, {-6.225668812123647, 0.003213734144660721}}","{{0.14144808828779618, 0.0003121374912697005}, {-6.243905813344928, 0.0031647715076079147}}","{{0.14376797764131638, 0.00030584244180176777}, {-6.263238224624263, 0.0031291923654511258}}","{{0.14611284237706149, 0.0003002096662897788}, {-6.283560385667386, 0.003112103619318276}}","{{0.14927413998109945, 0.0002960630984116461}, {-6.3120120641037305, 0.003128415510689028}}","{{0.15239462701302062, 0.00029847661668337694}, {-6.34113660973499, 0.0031358088905819193}}","{{0.157037744049948, 0.00032225253321493323}, {-6.38602007442529, 0.0033623829104357716}}","{{0.16242462619839956, 0.00037075107591083795}, {-6.439888895909808, 0.0038315441538364693}}","{{0.16756478390834398, 0.00043018191695773627}, {-6.493003858912566, 0.0044403732655281525}}","{{0.17416917176812366, 0.0005133598348967932}, {-6.563450662750217, 0.005407244475382224}}"
6,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.12966702878872888, 0.0005477861693353696}, {-6.164428032832227, 0.004370938047710878}}","{{0.1303086852928397, 0.00046960704427346345}, {-6.168705742859634, 0.004091520431677073}}","{{0.13674839895929833, 0.0004277110172218737}, {-6.213783738524844, 0.00393588268068667}}","{{0.13855980152578215, 0.00040526259146660327}, {-6.2270673573457245, 0.00385666648493409}}","{{0.13879432175441023, 0.0003850026438570414}, {-6.228865345765208, 0.0037539153598741297}}","{{0.13968038625414317, 0.0003669668135567869}, {-6.235953861763074, 0.0036592895856500437}}","{{0.1411748043510339, 0.00035334390800008717}, {-6.248407345903827, 0.003592304158542398}}","{{0.14350908629104847, 0.0003436983545927248}, {-6.268637789383953, 0.0035298266231851756}}","{{0.14587604679916158, 0.0003353873665067531}, {-6.289940433956972, 0.003485733954554326}}","{{0.14826037746455742, 0.00032831591287795024}, {-6.312194186834001, 0.0034686018214519438}}","{{0.1515776385326788, 0.0003227681115285785}, {-6.3442610438258376, 0.0034872254555604817}}","{{0.15481483820464823, 0.00032619145722123096}, {-6.376633040545532, 0.003522329253923791}}","{{0.15975434268761565, 0.0003549364343732009}, {-6.427674586869531, 0.0038427224028214093}}","{{0.16547501027491573, 0.00040695727051087726}, {-6.4886950411340685, 0.00439307213494032}}","{{0.1708610237064396, 0.0004700747800600252}, {-6.54794118888083, 0.0050911628358538035}}","{{0.17783298357307298, 0.0005588419327167064}, {-6.626956734036009, 0.006187679689031676}}"
7,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.13090220363961855, 0.0005452987245619639}, {-6.173651729082785, 0.0047965797850194735}}","{{0.14026501496591834, 0.0005004257645912156}, {-6.245433282584422, 0.0046233599676822204}}","{{0.14139433215634867, 0.00046525046773321496}, {-6.254467820107868, 0.004452614121913211}}","{{0.14076218225099651, 0.00043376996974278057}, {-6.249199904229931, 0.004262579808867574}}","{{0.14133916218019793, 0.0004076375699227705}, {-6.2542003969496776, 0.004107207192707387}}","{{0.14279249081980036, 0.0003893000380019991}, {-6.2672803547061005, 0.004010269511791084}}","{{0.14528601619786818, 0.0003753955391006492}, {-6.290553258234732, 0.003916209410925788}}","{{0.14777098282624124, 0.0003637807767703081}, {-6.314574602309006, 0.0038512438120520023}}","{{0.15024429433496722, 0.0003546079790889421}, {-6.3393077173962675, 0.0038284328241729405}}","{{0.15378377943603982, 0.00034892245942324743}, {-6.3758823967740135, 0.0038681426498331896}}","{{0.15717960353394925, 0.0003550134033382364}, {-6.41210452048505, 0.003956375559994029}}","{{0.16248692789601266, 0.00039089328485518963}, {-6.4704850884677505, 0.0044071573385753805}}","{{0.16860600646716606, 0.0004482745085479611}, {-6.5398346456074865, 0.005068760064253233}}","{{0.17427389705359883, 0.0005167613458094897}, {-6.605960035782536, 0.005886798277450109}}","{{0.18166457298134697, 0.0006130612868167967}, {-6.694648146915509, 0.00715114361453402}}"
8,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.14675286678971722, 0.0006212910105956711}, {-6.305986566273212, 0.005864330514133528}}","{{0.1452029166634617, 0.000544953533501887}, {-6.292553665178997, 0.005329590893252513}}","{{0.14279447299311987, 0.0004912428030876556}, {-6.270877672145917, 0.004936064008092084}}","{{0.14288634931801883, 0.00045421437593792086}, {-6.271735184511644, 0.004686467856507318}}","{{0.14431286124384152, 0.00043204066332701134}, {-6.2855247997945956, 0.004567863201109733}}","{{0.14704967536041777, 0.0004148276334314591}, {-6.312892940960364, 0.0044518630088766385}}","{{0.14969493253675134, 0.00039965430502876873}, {-6.3402272651158045, 0.004363972534495366}}","{{0.15227811640511935, 0.00038945735040319404}, {-6.367781226378397, 0.004352388359049687}}","{{0.15609135842090505, 0.00038494833148591427}, {-6.409726888552038, 0.004435693177556545}}","{{0.1596685567043229, 0.00039309684947096466}, {-6.450268469097445, 0.004574100005009975}}","{{0.16540947663433792, 0.00043715993644160753}, {-6.517245868280952, 0.0051770795097308}}","{{0.17198520232446643, 0.0005001038366667436}, {-6.596154576562495, 0.005956948747644509}}","{{0.17795825220811715, 0.0005741134796209343}, {-6.669822191794188, 0.00690220283886776}}","{{0.18581221823251906, 0.0006802303287974644}, {-6.769305761436608, 0.00838172279713894}}"
9,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.1492071933563878, 0.0006064037386112102}, {-6.333931191005906, 0.0060366800261240855}}","{{0.14359238950442335, 0.0005218831751669509}, {-6.279654753770256, 0.005354618048577884}}","{{0.1434018497547543, 0.0004886563187287134}, {-6.277749356273561, 0.005172280923317965}}","{{0.14513203217694262, 0.0004763374932559759}, {-6.295627907969506, 0.005194025287557948}}","{{0.14841674434593996, 0.0004620573588923914}, {-6.3306648377721455, 0.005134926447243609}}","{{0.1513815485699749, 0.0004454352793812086}, {-6.363277684236531, 0.005055925994570358}}","{{0.15416396973504226, 0.0004347120772269229}, {-6.39481179077396, 0.005068643994265823}}","{{0.158362689488002, 0.00043172423685153744}, {-6.443796854558492, 0.005206733295323818}}","{{0.1621773181743864, 0.000441430284182368}, {-6.489572398795105, 0.005392543797600811}}","{{0.16845693118105967, 0.000493344546985394}, {-6.567020959210741, 0.006147608042388967}}","{{0.17557546781632805, 0.0005622786663635583}, {-6.657189089924143, 0.007056963824436967}}","{{0.1818889154702344, 0.0006419007346003487}, {-6.739263909424924, 0.008136297060969166}}","{{0.19026598852960724, 0.0007593827861636956}, {-6.850958216883231, 0.009867187954892278}}"
10,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.13562971901489276, 0.0005973091610782079}, {-6.189411154888912, 0.006418744752215107}}","{{0.13932524463516185, 0.0005585054648938335}, {-6.22883009483845, 0.006192101744155724}}","{{0.1433781420740616, 0.0005506683232146586}, {-6.273411966666344, 0.006293864378644285}}","{{0.14834238833368238, 0.0005296894532886299}, {-6.329673424275378, 0.0061725118359982935}}","{{0.1521755240538016, 0.0005058186617308451}, {-6.374393341010102, 0.0060273924578276164}}","{{0.15545505663918158, 0.0004915122595072253}, {-6.413747732034667, 0.006023716764334846}}","{{0.16029991702521115, 0.0004879566094091063}, {-6.473501010129031, 0.00618784828911065}}","{{0.16449002594143014, 0.000496205542271337}, {-6.526575723067805, 0.006373186990820664}}","{{0.17149089444621815, 0.0005561049890915803}, {-6.6175870136300485, 0.007281601717593308}}","{{0.1792901933098382, 0.0006322750459191609}, {-6.7215776651449834, 0.00834109520402759}}","{{0.18600344437303618, 0.0007192442389466563}, {-6.813325429675354, 0.009588098677715299}}","{{0.1949894523119192, 0.0008524444651553518}, {-6.939129540819714, 0.011659288859620396}}"
