,free mean,free err,ur_18 mean,ur_18 err,ur_42 mean,ur_42 err
1,-6.026192001061214,0.0020662997003397304,-6.040815559354436,0.002056878667991132,-6.041832767150607,0.0020152411128661557
2,-5.881451752047372,0.001479699100323388,-5.888874904110549,0.0013178785767984542,-5.88956956482573,0.0014380446881288925
3,-5.753405694820469,0.0010780020403713658,-5.756947989625777,0.0010982972716766753,-5.756483730450392,0.0011252072279577799
4,-5.615862701800906,0.0010020294116578489,-5.627508278649298,0.0010097406804450153,-5.620494332487,0.0009574179267209769
5,-5.463010524522629,0.0008731757830488,-5.505750401857175,0.0009148989884864716,-5.48318128827255,0.0008652171520501459
6,-5.288242584516895,0.0008125559142935358,-5.386260112755815,0.0008861073934083713,-5.352248006292407,0.0007932445229284152
7,-5.088798374193008,0.0008555446750431908,-5.2570903259992,0.0008209883767798968,-5.225788535093097,0.0008000500590232109
8,-4.867274085052187,0.0009943471185298015,-5.126926055178366,0.0008111545051082069,-4.9851567287006215,0.0009016947315979571
9,-4.622397803948495,0.0012110743120360157,-4.995285918719963,0.0007563752876988371,-4.847355245817673,0.000841785987590671
10,-4.363420062090391,0.0015331210111366555,-4.8334203215989415,0.0007900909877089978,-4.716520721116766,0.0009188031774698348
11,-4.085826599953557,0.0018366666791362015,-4.696871532007176,0.0008339700355081907,-4.575062173367431,0.0010004242419395278
12,-3.795654458553749,0.00245659541608769,-4.56216088356915,0.0009023927618159727,-4.37038850336721,0.0010853155802151928
13,-3.484252518592145,0.003109442964469355,-4.413906388961083,0.0010050307254188338,-4.251109817289072,0.001040834700004438
14,-3.1412871856708295,0.004656319060667128,-4.258012182751692,0.0011339873590959571,-4.125571487130841,0.0011351598236923211
15,-2.766225873247431,0.007339125896248822,-4.087990111738067,0.0012712880616306905,-3.9771087344576284,0.0012764384166698923
16,-2.3645099673716112,0.010851858286291987,-3.9204192775486764,0.0013812198644215857,-3.8304421941594557,0.0014305720879421696
17,-1.9432619434667264,0.01571684750712859,-3.74805504107094,0.0015300892828040572,-3.6763923118847766,0.001611121335051519
18,-1.5690059822263165,0.025099968118157175,-3.5428838067389563,0.001762633346063243,-3.5002116910182894,0.0019427934358063228
19,-1.189943428959351,0.04003846354281507,-3.350983923185999,0.002230604561392355,-3.3027953179198333,0.00228685984410189
20,-0.8158184796823043,0.060080502231068596,-3.082756097133865,0.003090437498592086,-3.0425194742412005,0.003549120096531953
21,-0.4906004016526256,0.06005150151905035,-2.8134964598053482,0.004133331761458642,-2.7827947633157777,0.004831008690656337
22,,,-2.5735581300782027,0.005123719725863635,-2.5419219345001283,0.005799965357410685
23,,,-2.220735931234612,0.008112629822858425,-2.2159083928282293,0.009479844646037917
24,,,-1.5768459281801694,0.01856566735349222,-1.5641455861426434,0.018304619047598496
25,,,-1.1193078813495976,0.028357526819919612,-1.1534511172375401,0.029517264421079947
26,,,-0.7140280244520528,0.043864487769858254,-0.7994342374990466,0.04413812335722262
