"lower/upper",3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
12,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.13832738521172894, 0.0018165278991463803}, {-5.389803512863072, 0.02337180441906763}}","{{0.14100987854383287, 0.0016786334709054294}, {-5.423781761736394, 0.022621598220398813}}","{{0.14519444660163625, 0.0017962897986005984}, {-5.478181146487838, 0.024508931796889292}}","{{0.14961269304923863, 0.001786013269574698}, {-5.537091099122537, 0.024705453197619572}}","{{0.15348577231232252, 0.0017822702453079368}, {-5.590023182384681, 0.025049976939033727}}","{{0.1567156386694873, 0.0018339925861840967}, {-5.63524131138499, 0.02601369822311409}}","{{0.15906443474017312, 0.001838015696001059}, {-5.668907388398155, 0.02636968543589586}}","{{0.1608527218015875, 0.001940992227829812}, {-5.695135598632229, 0.028190230328247665}}","{{0.1626920032847581, 0.001985140429439274}, {-5.722724820879788, 0.029117753920978245}}","{{0.16468298044974625, 0.0021004909196820796}, {-5.753253137409608, 0.031237394155904936}}","{{0.16675638777279123, 0.0022983961415761096}, {-5.785736518803978, 0.034448291563839835}}","{{0.16825559326127656, 0.0024479833633446035}, {-5.809723806619744, 0.036947273069765925}}","{{0.16886411483019065, 0.00266080770515418}, {-5.819631996711779, 0.040689946296620406}}"
13,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.14232841471319055, 0.00221971617161918}, {-5.442680780163851, 0.031196193543664905}}","{{0.1479459987152141, 0.0022115092735497817}, {-5.519454428191508, 0.03124901687081689}}","{{0.15303092289642808, 0.0021205295047052497}, {-5.590643366728505, 0.030352464626086515}}","{{0.15705561863147685, 0.002065416224535107}, {-5.648330672264207, 0.03004270182097949}}","{{0.1601883478566437, 0.0021078142138680014}, {-5.694277367566649, 0.03098459593783182}}","{{0.16225616564821185, 0.002094621397484355}, {-5.725294634440172, 0.031206741219339577}}","{{0.1637325762992663, 0.0022147716809997582}, {-5.747932931089675, 0.03349558267231677}}","{{0.16536374317953484, 0.0022592359198430547}, {-5.773487878880548, 0.03460749007061474}}","{{0.1672309453027435, 0.0023776718004107937}, {-5.803363112851889, 0.03695926453892641}}","{{0.16922525970412863, 0.0025895641411807107}, {-5.835936914741172, 0.040613492571458916}}","{{0.1705752857398692, 0.0027371026017992675}, {-5.858437348670186, 0.04324936003515153}}","{{0.1709392831204946, 0.0029517045453698134}, {-5.864593976335031, 0.04721123317311906}}"
14,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.15349452393575957, 0.0028450949795501695}, {-5.604531814906539, 0.041277405180437765}}","{{0.1583476475973089, 0.002539638139762277}, {-5.6757109619426, 0.03738782832504064}}","{{0.16185553174602405, 0.0024030933675006413}, {-5.728329224173324, 0.036042398465235215}}","{{0.1644325330080639, 0.0024145434388590016}, {-5.7678432435246, 0.03665007264601773}}","{{0.16587853155396168, 0.002376130576115271}, {-5.790497220743669, 0.03664419681658466}}","{{0.16681845339134174, 0.0025236206845798575}, {-5.805535970141751, 0.039629309241547596}}","{{0.16812635133565337, 0.002572332872344107}, {-5.826898303232172, 0.0410373198470538}}","{{0.16981447225227833, 0.0027004709540691093}, {-5.855033651842584, 0.04378337175710022}}","{{0.17170165709945676, 0.0029378504823453075}, {-5.887115794244623, 0.04815014722419811}}","{{0.17286395457526463, 0.003083997137694904}, {-5.9072622838252915, 0.0509722495818782}}","{{0.17293200587264526, 0.0032924533666275494}, {-5.908433876882343, 0.05500654004864526}}"
15,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.1635016305600044, 0.0031818177949188473}, {-5.759892683666626, 0.048592090255626524}}","{{0.1661864653017293, 0.0029239053433072677}, {-5.801955094620315, 0.04564975960961584}}","{{0.16806189364630605, 0.0028401001308973966}, {-5.831961948133542, 0.0448137926728334}}","{{0.16878010482808847, 0.0027375757542748486}, {-5.843692730769325, 0.04391084867806174}}","{{0.1691595548263984, 0.0029078077815226392}, {-5.8500168974078255, 0.047522426776219984}}","{{0.1702091518980211, 0.002949065373469218}, {-5.867860047625404, 0.04902792167079011}}","{{0.1718095662267067, 0.003083317626591721}, {-5.895600562655961, 0.05211673297208475}}","{{0.17367516924843338, 0.0033507549279753594}, {-5.928559549373133, 0.05731262380327007}}","{{0.17468997314730073, 0.0034851037797123023}, {-5.946826019552743, 0.06011750529016434}}","{{0.17446516265592968, 0.0036810261574127656}, {-5.942674378375696, 0.06410239705287007}}"
16,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.16939349014930066, 0.0037028467205713063}, {-5.85754352531155, 0.06080963811566732}}","{{0.1706031202423784, 0.003468313549508419}, {-5.877704026862842, 0.05736566154486929}}","{{0.17059212525844522, 0.003206296608807438}, {-5.877517112135986, 0.05377441622570878}}","{{0.1704940517794013, 0.003387420900966716}, {-5.875817171832552, 0.057735450018883}}","{{0.17146224888492134, 0.0033919863451486185}, {-5.892921987363411, 0.05876135830562721}}","{{0.1731494925490507, 0.003533155497052794}, {-5.923292373317736, 0.062214656593328414}}","{{0.17513191261508346, 0.0038283397843334238}, {-5.959636741194998, 0.06819278778329799}}","{{0.17605832862039578, 0.003940244520976973}, {-5.976929839960831, 0.07076167130292502}}","{{0.17554370652393383, 0.004119107113133574}, {-5.96712137271712, 0.07461122856964424}}"
17,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.1719563584811171, 0.00454673219766844}, {-5.902513394573054, 0.07842229874563732}}","{{0.1712632468858369, 0.003896116502076869}, {-5.890268423056434, 0.06810026905693045}}","{{0.1708574953642307, 0.004065540397241473}, {-5.882964895667523, 0.07209404451827438}}","{{0.1720272769766427, 0.003967402039900018}, {-5.904410891895078, 0.07143110772834928}}","{{0.17403515366145794, 0.004117410623902478}, {-5.941891256678291, 0.07539065140837527}}","{{0.1762917634658995, 0.00444509170697316}, {-5.98476684296268, 0.08234350844060967}}","{{0.17716630506110115, 0.004516928517458157}, {-6.001674647136583, 0.08437253790274628}}","{{0.17632854745639387, 0.004654387526940188}, {-5.985172714163704, 0.0875984592496746}}"
18,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.17110864375626228, 0.0049782733307017265}, {-5.887279429217982, 0.09099199272167002}}","{{0.17057731803862963, 0.0051145760316212195}, {-5.877361349155504, 0.09456852354091905}}","{{0.17232708322624282, 0.004818420197829729}, {-5.910606887720149, 0.09040278389205873}}","{{0.17490431672280052, 0.004886359665822144}, {-5.960433401986934, 0.09301081858800936}}","{{0.17755733988241518, 0.00520917604290024}, {-6.012609524126028, 0.10017035844795516}}","{{0.17833412277228536, 0.005217176856663009}, {-6.028145181923428, 0.10119819179884022}}","{{0.17705297773937234, 0.005293594323177464}, {-6.0020760874332, 0.10340242282384841}}"
19,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.16963305805132417, 0.006652680336687711}, {-5.858161396080301, 0.12788791453253756}}","{{0.17272983582640605, 0.005802539295937341}, {-5.919064692323577, 0.11296532480057887}}","{{0.17617686168152602, 0.005731472888188275}, {-5.9880052094259835, 0.11297115758061613}}","{{0.17929004424143172, 0.0060870232154497305}, {-6.051306588144063, 0.12114531705977953}}","{{0.17979370671154588, 0.0060066968435780205}, {-6.06171561252642, 0.12065581741804252}}","{{0.17782465390356966, 0.0060105883374266525}, {-6.020339089985872, 0.1215863140166028}}"
20,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.17489253528370624, 0.006841479496249601}, {-5.965202280745974, 0.1376090398380958}}","{{0.17898172433772358, 0.006545172460304417}, {-6.049712187862329, 0.13300049455916144}}","{{0.1822182348591125, 0.006992074871138977}, {-6.117678908811496, 0.14337551020003833}}","{{0.1819137212800392, 0.006855288949484163}, {-6.111182619124594, 0.14217883764686054}}","{{0.1787706583810496, 0.006815165166513432}, {-6.043043197445389, 0.1425544302683897}}"
21,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.18336282851062033, 0.008229320174597125}, {-6.147556847723697, 0.17417890984840004}}","{{0.18602704220625835, 0.008607029081897}, {-6.205281477795851, 0.18299399549303808}}","{{0.1840772002567023, 0.00813451370954543}, {-6.16238495490562, 0.17479909987482134}}","{{0.17916300301009966, 0.007908266787737175}, {-6.052590250085605, 0.171339411982263}}"
22,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.18897163760878435, 0.010998269574310892}, {-6.273988703854784, 0.24111617613459943}}","{{0.1845745769831797, 0.009729718617611566}, {-6.174321996341076, 0.2157200830817328}}","{{0.17748114432355264, 0.009202682954299149}, {-6.011104402484115, 0.20584619572758486}}"
23,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.18234435332674784, 0.012709149638217227}, {-6.12005322070124, 0.29285887638514957}}","{{0.1728176185562406, 0.01140098961819295}, {-5.8945162583013095, 0.2650772602393221}}"
24,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.16358494761503464, 0.014171768391398437}, {-5.660621927790771, 0.34398193324621135}}"
